img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,release_year
/games/boxart/full_2391793PALFrontccc.jpg,Mass Effect 3,PS3,Role-Playing,Electronic Arts,BioWare,8.9,1.46,0.65,0.03,0.58,0.2,2012-03-06,,2012
/games/boxart/full_8904735AmericaFrontccc.jpg,Battlefield: Bad Company,X360,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.46,0.81,0.04,0.46,0.15,2008-06-23,,2008
/games/boxart/full_homefront_444AmericaFront.jpg,Homefront,X360,Shooter,Thq,Kaos Studios,6.7,1.46,0.83,0.02,0.48,0.12,2011-03-15,,2011
/games/boxart/728714ccc.jpg,Midway Arcade Treasures,PS2,Misc,Midway Games,Digital Eclipse,,1.46,0.72,,0.56,0.19,2003-11-18,,2003
/games/boxart/7417741ccc.jpg,Wcw Vs The World,PS,Fighting,Thq,Aki Corp.,,1.46,1.17,0.04,0.2,0.05,1998-02-28,,1998
/games/boxart/1025413ccc.jpg,Wall-E,DS,Platform,Thq,Heavy Iron Studios,,1.46,0.46,0.0,0.82,0.17,2008-06-24,,2008
/games/boxart/3801642ccc.jpg,The Spongebob Squarepants Movie,GBA,Action,Thq,WayForward,,1.46,1.02,,0.38,0.06,2004-10-27,,2004
/games/boxart/full_5467225AmericaFrontccc.jpg,Mortal Kombat 4,PS,Fighting,Midway Games,Eurocom Entertainment Software,,1.46,0.81,,0.55,0.1,1998-06-24,,1998
/games/boxart/full_the-sims-3_7AmericaFront.jpg,The Sims 3,WII,Simulation,Electronic Arts,The Sims Studio,,1.46,0.61,,0.7,0.15,2010-11-15,,2010
/games/boxart/9182544ccc.jpg,Donkey Kong,2600,Platform,Coleco,Nintendo,,1.46,1.36,,0.08,0.02,1982-01-01,,1982
/games/boxart/9147705ccc.jpg,Sega Genesis Collection,PSP,Misc,Sega,Sega,8.3,1.45,0.53,,0.58,0.34,2006-11-16,,2006
/games/boxart/full_8940693AmericaFrontccc.jpg,Sonic & Sega All-Stars Racing,WII,Racing,Sega,Sumo Digital,7.9,1.45,0.61,,0.69,0.15,2010-02-23,,2010
/games/boxart/5990330ccc.jpg,The House Of The Dead 2 & 3 Return,WII,Shooter,Sega,Sega,6.5,1.45,0.77,0.03,0.5,0.15,2008-03-11,,2008
/games/boxart/full_966855AmericaFrontccc.jpg,Tony Hawk'S American Wasteland (Weekly American Sales),PS2,Sports,Activision,Neversoft Entertainment,,1.45,1.38,,0.05,0.02,2005-10-18,,2005
/games/boxart/7620922ccc.jpg,Red Dead Revolver,PS2,Shooter,Rockstar Games,Rockstar San Diego,,1.45,0.71,,0.55,0.19,2004-05-03,,2004
/games/boxart/full_2011970AmericaFrontccc.jpg,Doom (2016),XONE,Shooter,Bethesda Softworks,id Software,,1.45,0.76,,0.57,0.13,2016-05-13,,2016
/games/boxart/full_5244344JapanFrontccc.jpg,Game De Hakken!! Tamagotchi 2,GB,Simulation,Bandai,Tom Create,,1.45,,1.44,,0.01,1997-10-17,,1997
/games/boxart/full_42836AmericaFrontccc.jpg,Tamagotchi,GB,Simulation,Bandai,Tom Create,,1.45,,1.44,,0.01,1997-06-26,,1997
/games/boxart/full_2518506JapanFrontccc.jpg,Dragon Ball Z,SNES,Fighting,Bandai,TOSE,,1.45,,1.45,,0.0,1999-01-01,,1999
/games/boxart/8550804ccc.jpg,Namco Museum 64,N64,Misc,Namco,Mass Media,,1.45,1.24,0.03,0.17,0.01,1999-10-31,,1999
/games/boxart/full_601061AmericaFrontccc.jpg,Assassin'S Creed Syndicate,XONE,Action,Ubisoft,Ubisoft Quebec,,1.44,0.71,,0.61,0.12,2015-10-23,2018-01-14,2015
/games/boxart/8018037ccc.jpg,Bioshock,PS3,Shooter,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1.44,0.75,0.01,0.48,0.21,2008-10-21,,2008
/games/boxart/7944449ccc.jpg,Sonic Rivals,PSP,Racing,Sega,Backbone Entertainment,7.0,1.44,0.73,,0.43,0.28,2006-11-16,,2006
/games/boxart/full_star-wars-the-force-unleashed-ii_9AmericaFront.jpg,Star Wars: The Force Unleashed Ii,X360,Action,Lucasarts,LucasArts,6.3,1.44,0.95,,0.37,0.12,2010-10-26,,2010
/games/boxart/full_6479888AmericaFrontccc.jpg,Disney Princess: Magical Jewels,DS,Adventure,Disney Interactive Studios,1st Playable Productions,,1.44,1.12,,0.2,0.12,2007-10-16,,2007
/games/boxart/7103847ccc.jpg,My Word Coach,DS,Misc,Ubisoft,Ubisoft Montreal,,1.44,0.37,,0.9,0.18,2007-11-06,,2007
/games/boxart/1774645ccc.jpg,Tiger Woods Pga Tour 2005,PS2,Sports,Ea Sports,EA Redwood Shores,,1.44,1.03,,0.32,0.09,2004-09-20,,2004
/games/boxart/full_176177AmericaFrontccc.jpg,Ncaa Football 2003,PS2,Sports,Ea Sports,EA Tiburon,,1.44,1.16,,0.08,0.19,2002-07-20,,2002
/games/boxart/full_43748AmericaFrontccc.jpg,Singstar Pop,PS2,Misc,Sony Computer Entertainment,SCEE London Studio,,1.44,0.04,,1.08,0.32,2007-04-03,,2007
/games/boxart/full_5007495AmericaFrontccc.jpg,South Park: The Fractured But Whole,PS4,Role-Playing,Ubisoft,Ubisoft San Francisco,,1.43,0.62,,0.57,0.24,2017-10-17,2018-04-06,2017
