probability_bin,observations,mean_predicted_probability,observed_success_rate
"(-0.001, 0.1]",31,0.07703178058597208,0.0
"(0.1, 0.2]",160,0.14915694149038536,0.03125
"(0.2, 0.3]",133,0.24752078395186283,0.09022556390977443
"(0.3, 0.4]",78,0.34944901624502017,0.08974358974358974
"(0.4, 0.5]",61,0.4476078007120494,0.2786885245901639
"(0.5, 0.6]",55,0.5395900476982016,0.38181818181818183
"(0.6, 0.7]",58,0.6494657877851149,0.5862068965517241
"(0.7, 0.8]",54,0.7540251494636959,0.5925925925925926
"(0.8, 0.9]",16,0.8380046754455662,0.875
