threshold,precision,recall,f1
0.2,0.3930131004366812,0.9574468085106383,0.5572755417956656
0.21000000000000002,0.39800443458980045,0.9547872340425532,0.5618153364632238
0.22000000000000003,0.40914285714285714,0.9521276595744681,0.5723421262989609
0.23000000000000004,0.4158878504672897,0.9468085106382979,0.577922077922078
0.24000000000000005,0.4241338112305854,0.9441489361702128,0.5853256389117889
0.25000000000000006,0.42804878048780487,0.9335106382978723,0.5869565217391305
0.26000000000000006,0.43859649122807015,0.9308510638297872,0.596252129471891
0.2700000000000001,0.45006485084306097,0.9228723404255319,0.6050566695727986
0.2800000000000001,0.45695364238410596,0.9175531914893617,0.610079575596817
0.2900000000000001,0.4654939106901218,0.9148936170212766,0.6170403587443947
0.3000000000000001,0.47441217150760717,0.9122340425531915,0.6242038216560509
0.3100000000000001,0.4780763790664781,0.898936170212766,0.6241920590951062
0.3200000000000001,0.48419540229885055,0.8962765957446809,0.628731343283582
0.3300000000000001,0.4992548435171386,0.8909574468085106,0.6399235912129895
0.34000000000000014,0.5108024691358025,0.8803191489361702,0.646484375
0.35000000000000014,0.5134281200631912,0.8643617021276596,0.6442021803766105
0.36000000000000015,0.5270049099836334,0.8563829787234043,0.6524822695035462
0.37000000000000016,0.5389830508474577,0.8457446808510638,0.6583850931677019
0.38000000000000017,0.5476603119584056,0.8404255319148937,0.6631689401888772
0.3900000000000002,0.5589285714285714,0.8324468085106383,0.6688034188034188
0.4000000000000002,0.5638686131386861,0.8218085106382979,0.6688311688311688
0.4100000000000002,0.5708884688090737,0.8031914893617021,0.6674033149171271
0.4200000000000002,0.580078125,0.7898936170212766,0.668918918918919
0.4300000000000002,0.5863453815261044,0.776595744680851,0.6681922196796338
0.4400000000000002,0.5958762886597938,0.7686170212765957,0.6713124274099884
0.45000000000000023,0.597457627118644,0.75,0.6650943396226415
0.46000000000000024,0.5978494623655914,0.7393617021276596,0.6611177170035671
0.47000000000000025,0.6021739130434782,0.7367021276595744,0.6626794258373205
0.48000000000000026,0.6076233183856502,0.7207446808510638,0.6593673965936739
0.49000000000000027,0.6082004555808656,0.7101063829787234,0.6552147239263804
0.5000000000000002,0.6116279069767442,0.699468085106383,0.652605459057072
0.5100000000000002,0.6104513064133017,0.6835106382978723,0.644918444165621
0.5200000000000002,0.6112469437652812,0.6648936170212766,0.6369426751592356
0.5300000000000002,0.6129032258064516,0.6569148936170213,0.6341463414634146
0.5400000000000003,0.6234096692111959,0.651595744680851,0.6371911573472041
0.5500000000000003,0.6243386243386243,0.6276595744680851,0.6259946949602122
0.5600000000000003,0.628032345013477,0.6196808510638298,0.6238286479250335
0.5700000000000003,0.6236263736263736,0.6037234042553191,0.6135135135135135
0.5800000000000003,0.625,0.5851063829787234,0.6043956043956044
0.5900000000000003,0.6191860465116279,0.5664893617021277,0.5916666666666667
0.6000000000000003,0.6287425149700598,0.5585106382978723,0.5915492957746479
0.6100000000000003,0.6377708978328174,0.5478723404255319,0.5894134477825465
0.6200000000000003,0.6389776357827476,0.5319148936170213,0.5805515239477503
0.6300000000000003,0.6470588235294118,0.526595744680851,0.5806451612903226
0.6400000000000003,0.6643835616438356,0.5159574468085106,0.5808383233532934
0.6500000000000004,0.6784452296819788,0.5106382978723404,0.582701062215478
0.6600000000000004,0.6715867158671587,0.48404255319148937,0.5625965996908809
0.6700000000000004,0.6692913385826772,0.4521276595744681,0.5396825396825397
0.6800000000000004,0.6778242677824268,0.4308510638297872,0.526829268292683
0.6900000000000004,0.6810344827586207,0.42021276595744683,0.5197368421052632
0.7000000000000004,0.6807511737089202,0.38563829787234044,0.4923599320882852
0.7100000000000004,0.6847290640394089,0.3696808510638298,0.48013816925734026
0.7200000000000004,0.7083333333333334,0.3617021276595745,0.4788732394366197
0.7300000000000004,0.7112299465240641,0.3537234042553192,0.4724689165186501
0.7400000000000004,0.7191011235955056,0.3404255319148936,0.4620938628158845
0.7500000000000004,0.7317073170731707,0.3191489361702128,0.4444444444444444
0.7600000000000005,0.738562091503268,0.300531914893617,0.42722117202268434
0.7700000000000005,0.7446808510638298,0.27925531914893614,0.40618955512572535
0.7800000000000005,0.7777777777777778,0.26063829787234044,0.3904382470119522
0.7900000000000005,0.7946428571428571,0.23670212765957446,0.36475409836065575
0.8000000000000005,0.8,0.2127659574468085,0.33613445378151263
0.8100000000000005,0.8314606741573034,0.19680851063829788,0.31827956989247314
