feature,importance_mean,importance_std
genre_prior_avg_sales,0.02325646860118701,0.0024733438366773552
publisher_prior_hit_rate,0.01871495930000706,0.004809870979895156
genre_prior_median_sales,0.014009242534424949,0.001847490449046908
developer_prior_hit_rate,0.013969950034014434,0.0033011511762936468
publisher_prior_avg_sales,0.011366088812780095,0.004307391660828629
developer_prior_avg_sales,0.006048699242299838,0.0025658260124259706
console_prior_hit_rate,0.005489514180487487,0.0016554543838529184
platform_family,0.0038961153205564147,0.000984198778709359
console_prior_count,0.003065987942480486,0.0005077009009503026
console_prior_avg_sales,0.002310926833845495,0.001671504121534068
genre,0.002209763306669188,0.0004866027235121472
publisher_prior_median_sales,0.0017511553168031214,0.002021865452860903
console_prior_median_sales,0.0017092237678575594,0.0008349405455229694
publisher_prior_count,0.0016558563419268534,0.0010237987063685123
genre_prior_count,0.0013341856482676274,0.0005661723350219744
release_month,0.0012183607403410846,0.0004384184328592586
is_holiday_window,0.0007040395036243208,0.0003237568842183819
developer_prior_count,0.0006471533463136003,0.00040188243353663124
developer_prior_median_sales,-0.0002304769053930511,0.0011167162471305196
genre_prior_hit_rate,-0.0009239602148772063,0.0004848010293731731
