publisher_name,genre,game_title,year,total_sales,genre_year_median,vs_median_ratio,entry_performance
Xseed Games,Adventure,Ju-On: The Grudge,2009,0.1000,0.0300,3.33,strong breakout
Xseed Games,Fighting,Victorious Boxers: Revolution,2007,0.1400,0.0800,1.75,above median
Xseed Games,Misc,Korg Ds-10 Synthesizer,2008,0.2200,0.1200,1.83,above median
Xseed Games,Music,Senran Kagura: Bon Appétit!,2014,0.0300,0.1550,0.19,weak entry
Xseed Games,Platform,Shantae: Half-Genie Hero,2016,0.1100,0.1200,0.92,below median
Xseed Games,Puzzle,Ivy The Kiwi?,2010,0.1100,0.0450,2.44,strong breakout
Xseed Games,Role-Playing,Shadow Hearts: From The New World,2006,0.1400,0.0600,2.33,strong breakout
Xseed Games,Shooter,Earth Defense Force 4.1: The Shadow Of New Despair,2015,0.1100,0.4900,0.22,weak entry
Xseed Games,Simulation,The Sky Crawlers: Innocent Aces,2010,0.1200,0.0700,1.71,above median
Xseed Games,Sports,Fishing Resort,2011,0.3900,0.1500,2.60,strong breakout
Xseed Games,Strategy,Populous Ds,2008,0.0900,0.0700,1.29,above median
Xseed Games,Visual Novel,London Detective Mysteria,2018,0.0100,0.0100,1.00,above median
Yacht Club Games,Action,Azure Striker Gunvolt: Striker Pack,2016,0.0300,0.0700,0.43,weak entry
Yamasa Entertainment,Misc,Yamasa Digi Portable: Matsuri No Tatsujin - Win-Chan No Natsumatsuri,2006,0.0200,0.0500,0.40,weak entry
Yeti,Action,Secret Game: Killer Queen,2008,0.0100,0.1600,0.06,weak entry
Yeti,Adventure,Mystereet,2006,0.0100,0.0400,0.25,weak entry
Yeti,Fighting,Koihime Enbu,2016,0.0300,0.0500,0.60,below median
Yeti,Visual Novel,Root Double: Before Crime * After Days,2012,0.0100,0.0250,0.40,weak entry
Yuke'S,Fighting,Wrestle Kingdom,2006,0.0300,0.1500,0.20,weak entry
Yuke'S,Puzzle,Neves,2007,0.0200,0.0600,0.33,weak entry
Yuke'S,Racing,D1 Professional Drift Grand Prix Series,2006,0.0300,0.0800,0.38,weak entry
Yuke'S,Role-Playing,Neverland Card Battles,2008,0.0700,0.0700,1.00,above median
Zenrin,Misc,Minna No Chizu,2006,0.0400,0.0500,0.80,below median
Zoo Digital Publishing,Misc,M&M'S Beach Party,2009,0.0400,0.1100,0.36,weak entry
Zoo Digital Publishing,Puzzle,Margot'S Word Brain,2008,0.1300,0.0600,2.17,strong breakout
Zoo Digital Publishing,Simulation,Dream Salon,2009,0.1900,0.1000,1.90,above median
Zoo Digital Publishing,Sports,Skate City Heroes,2008,0.1200,0.1700,0.71,below median
Zoo Games,Action,Pacific Liberator,2009,0.0300,0.1700,0.18,weak entry
Zoo Games,Adventure,Dream Chronicles,2010,0.0200,0.0300,0.67,below median
Zoo Games,Misc,Calvin Tucker'S Redneck Jamboree,2008,0.3100,0.1200,2.58,strong breakout
Zoo Games,Puzzle,Margot'S Word Brain,2008,0.0700,0.0600,1.17,above median
Zoo Games,Racing,Chrysler Classic Racing,2008,0.0800,0.1350,0.59,below median
Zoo Games,Shooter,Arcade Shooting Gallery,2008,0.1900,0.1800,1.06,above median
Zoo Games,Simulation,Wedding Dash,2009,0.2100,0.1000,2.10,strong breakout
Zoo Games,Sports,Basketball Hall Of Fame Ultimate Hoops Challenge,2010,0.0700,0.1800,0.39,weak entry
Zushi Games,Action,Oktoberfest,2009,0.0000,0.1700,0.00,weak entry
Zushi Games,Misc,Food Coach: Healthy Living Made Easy,2010,0.0000,0.1100,0.00,weak entry
Zushi Games,Puzzle,Jig-A-Pix: Pets,2009,0.0400,0.0600,0.67,below median
