publisher_name,genre,game_title,year,total_sales,genre_year_median,vs_median_ratio,entry_performance
Asylum Entertainment,Platform,"Horrid Henry: The Good, The Bad And The Bugly",2011,0.0700,0.1100,0.64,below median
Atlus,Action-Adventure,Code Of Princess,2012,0.2000,0.3300,0.61,below median
Atlus,Misc,Jinsei Game Ds,2006,0.0200,0.0500,0.40,weak entry
Atlus,Music,Persona 4: Dancing All Night,2015,0.3800,0.2200,1.73,above median
Atlus,Platform,Steal Princess,2009,0.0200,0.1350,0.15,weak entry
Atlus,Visual Novel,Utawarerumono: Mask Of Truth,2017,0.2300,0.0200,11.50,strong breakout
Avanquest,Action,Fifi And The Flowertots: Fifi'S Garden Party,2011,0.0000,0.1700,0.00,weak entry
Avanquest,Adventure,The Mystery Of The Crystal Portal,2010,0.0000,0.0300,0.00,weak entry
Avanquest,Misc,Fifi And The Flowertots,2009,0.1000,0.1100,0.91,below median
Avanquest,Puzzle,Jewel Quest Mysteries: Curse Of The Emerald Tear,2010,0.2800,0.0450,6.22,strong breakout
Avanquest,Simulation,Supermodel Makeover By Lauren Luke,2009,0.0200,0.1000,0.20,weak entry
Avanquest,Sports,Dino Dini'S Kick Off Revival,2016,0.0300,0.3250,0.09,weak entry
Avanquest Software,Action,Thomas And Friends: Steaming Around Sodor,2015,0.0400,0.0600,0.67,below median
Avanquest Software,Adventure,Jewel Quest 6: The Sapphire Dragon,2012,0.0100,0.0400,0.25,weak entry
Avanquest Software,Misc,Everything'S Rosie,2013,0.0000,0.0600,0.00,weak entry
Avanquest Software,Puzzle,Mahjong Mysteries: Ancient Egypt,2010,0.0000,0.0450,0.00,weak entry
Avanquest Software,Simulation,Rollercoaster Tycoon 8 Pack,2015,0.0000,0.0200,0.00,weak entry
Badland Games,Adventure,The Sexy Brutale,2017,0.0800,0.0200,4.00,strong breakout
Badland Studio,Platform,Olliolli: Epic Combo Edition,2016,0.0300,0.1200,0.25,weak entry
Bandai Namco Entertainment,Action,Katamari Damacy Reroll,2018,0.1700,0.0500,3.40,strong breakout
Bandai Namco Entertainment,Fighting,Full Metal Panic! Fight: Who Dares Wins,2018,0.0200,0.0700,0.29,weak entry
Bandai Namco Entertainment,Misc,Namco Museum Arcade Pac,2018,0.1100,0.0300,3.67,strong breakout
Bandai Namco Entertainment,Music,Idolish7 Twelve Fantasia!,2018,0.0300,0.0350,0.86,below median
Bandai Namco Entertainment,Platform,Little Nightmares,2018,0.0500,0.0400,1.25,above median
Bandai Namco Entertainment,Racing,Ride 3,2018,0.1000,0.0500,2.00,strong breakout
Bandai Namco Entertainment,Role-Playing,Little Witch Academia: Chamber Of Time,2017,0.0100,0.0700,0.14,weak entry
Bandai Namco Entertainment,Shooter,Black Clover: Quartet Knights,2018,0.0400,0.0900,0.44,weak entry
Bandai Namco Games,Action,Mobile Suit Gundam Seed Battle Destiny,2012,0.1200,0.1600,0.75,below median
Bandai Namco Games,Action-Adventure,Record Of Grancrest War,2018,0.0300,0.0650,0.46,weak entry
Bandai Namco Games,Adventure,Aikatsu! 365 Idol Days,2014,0.1300,0.0200,6.50,strong breakout
Bandai Namco Games,Board Game,Billion Road,2018,0.0100,0.0100,1.00,above median
Bandai Namco Games,Fighting,Kamen Rider: Climax Scramble Zi-O,2018,0.0300,0.0700,0.43,weak entry
Bandai Namco Games,Misc,Aikatsu! My No.1 Stage!,2015,0.0900,0.0500,1.80,above median
Bandai Namco Games,Puzzle,Gotouchi Tetsudou For Nintendo Switch!!,2018,0.0200,0.0700,0.29,weak entry
Bandai Namco Games,Racing,Project Cars,2015,1.8200,0.0600,30.33,strong breakout
Bandai Namco Games,Role-Playing,Kamen Rider Travelers Record,2013,0.0800,0.0900,0.89,below median
Bandai Namco Games,Shooter,Armored Core: Verdict Day,2013,0.1300,0.3950,0.33,weak entry
Bandai Namco Games,Simulation,The Idolm@Ster: Gravure For You! Vol. 6,2012,0.0300,0.0850,0.35,weak entry
Bandai Namco Games,Sports,Kuroko No Basuke: Game Of Miracles,2012,0.1100,0.2850,0.39,weak entry
Bandai Namco Games,Strategy,Sd Gundam G Generation Genesis,2018,0.0400,0.0200,2.00,strong breakout
Bandai Namco Games,Visual Novel,Akb1/48: Idol To Guam De Koishitara...,2011,0.0100,0.0200,0.50,below median
Banpresto,Misc,Nodame Cantabile,2007,0.0100,0.0900,0.11,weak entry
Behaviour Interactive,Shooter,"Warhammer 40,000: Eternal Crusade",2017,0.0000,0.1450,0.00,weak entry
Benesse,Misc,Kiku! Kaku! Kotoba O Fuyasu! Hajimete No Eigo Training,2007,0.1000,0.0900,1.11,above median
Benesse,Simulation,Reading Training,2007,0.0900,0.1050,0.86,below median
Bergsala Lightweight,Racing,Hello Kitty Kruisers,2014,0.0100,0.1500,0.07,weak entry
Best Media,Shooter,Oretachi No Sabage Portable,2008,0.0100,0.1800,0.06,weak entry
Bethesda Softworks,Action,The Evil Within,2014,3.9100,0.1450,26.97,strong breakout
Bethesda Softworks,Adventure,Pirates Of The Caribbean: The Legend Of Jack Sparrow,2006,0.2500,0.0400,6.25,strong breakout
Bethesda Softworks,Misc,Doom 3 Bfg Edition,2012,1.0600,0.0200,53.00,strong breakout
Bethesda Softworks,Mmo,The Elder Scrolls Online,2014,1.0200,0.4800,2.13,strong breakout
Bethesda Softworks,Shooter,Rogue Warrior,2009,0.2400,0.1300,1.85,above median
Bethesda Softworks,Strategy,Star Trek: Tactical Assault,2006,0.0900,0.0200,4.50,strong breakout
Big Ben Interactive,Racing,Aladdin Magic Racer,2011,0.0100,0.1300,0.08,weak entry
Big Ben Interactive,Simulation,Bella Sara 2 - The Magic Of Drasilmare,2013,0.0400,0.0800,0.50,below median
Big Ben Interactive,Sports,My Body Coach,2009,0.0500,0.1650,0.30,weak entry
Big Fish Games,Action,Fabled Legends: The Dark Piper,2014,0.0100,0.1450,0.07,weak entry
Big Fish Games,Adventure,Mystery Case Files: Prime Suspects,2006,0.0000,0.0400,0.00,weak entry
Big Fish Games,Misc,Flying Turtle,2009,0.0000,0.1100,0.00,weak entry
Big Fish Games,Puzzle,Mystery Case Files: Ravenhearst,2007,0.0300,0.0600,0.50,below median
Bigben Interactive,Adventure,Sherlock Holmes: The Devil'S Daughter,2016,0.1200,0.0300,4.00,strong breakout
Bigben Interactive,Racing,Wrc 4: Fia World Rally Championship,2014,0.0000,0.1500,0.00,weak entry
Bigben Interactive,Shooter,Hunting Simulator,2017,0.1300,0.1450,0.90,below median
Bigben Interactive,Sports,Handball 16,2015,0.1100,0.1200,0.92,below median
Bitcomposer Games,Racing,Race On,2009,0.0300,0.1100,0.27,weak entry
Bitcomposer Games,Simulation,Air Conflicts: Secret Wars,2011,0.0300,0.0800,0.38,weak entry
Black Bean Games,Adventure,Diabolik: The Original Sin,2009,0.0000,0.0300,0.00,weak entry
Black Bean Games,Misc,National Geographic Challenge!,2011,0.0100,0.1200,0.08,weak entry
Black Bean Games,Racing,Evolution Gt,2006,0.0000,0.0800,0.00,weak entry
Black Bean Games,Sports,Let'S Dance With Mel B,2012,0.0800,0.2850,0.28,weak entry
Black Bean Games,Strategy,The History Channel: Great Battles Of Rome,2007,0.0000,0.0400,0.00,weak entry
Blade Interactive,Sports,World Snooker Championship: Season 2007-08,2007,0.0000,0.1700,0.00,weak entry
Blast! Entertainment Ltd,Action,Bob The Builder: Festival Of Fun,2008,0.0100,0.1600,0.06,weak entry
Blast! Entertainment Ltd,Adventure,Postman Pat,2008,0.0000,0.0400,0.00,weak entry
Blast! Entertainment Ltd,Misc,Little Britain: The Video Game,2007,0.0000,0.0900,0.00,weak entry
Blast! Entertainment Ltd,Platform,Mr Bean,2008,0.0000,0.4000,0.00,weak entry
Blizzard Entertainment,Role-Playing,Diablo Iii: Ultimate Evil Edition,2014,3.8600,0.1000,38.60,strong breakout
Blizzard Entertainment,Shooter,Overwatch,2016,8.1800,0.4600,17.78,strong breakout
Bold Games,Puzzle,Myth Makers: Orbs Of Doom,2007,0.0500,0.0600,0.83,below median
Bold Games,Racing,Classic British Motor Racing,2007,0.0000,0.1500,0.00,weak entry
Bold Games,Simulation,Aquarium By Ds,2008,0.0600,0.0800,0.75,below median
Bold Games,Sports,Kidz Sports International Soccer,2008,0.0100,0.1700,0.06,weak entry
Boost On,Misc,Isshoni Gohan. Portable,2013,0.0100,0.0600,0.17,weak entry
Brash Entertainment,Action,Jumper: Griffin'S Story,2008,0.2200,0.1600,1.38,above median
Brash Entertainment,Misc,Alvin And The Chipmunks,2007,0.2600,0.0900,2.89,strong breakout
Brash Entertainment,Platform,Space Chimps,2008,0.3800,0.4000,0.95,below median
Broccoli,Action,Meiji Toukyou Renka: Twilight Kiss,2015,0.0200,0.0600,0.33,weak entry
Broccoli,Adventure,Meitantei Evangelion,2007,0.0200,0.0400,0.50,below median
Broccoli,Fighting,Shinseiki Evangelion: Battle Orchestra,2007,0.0200,0.0800,0.25,weak entry
Broccoli,Misc,Uta No Prince-Sama: Music,2011,0.1000,0.1200,0.83,below median
Broccoli,Music,Uta No * Prince-Sama: All Star,2013,0.1200,0.3350,0.36,weak entry
Broccoli,Role-Playing,Game Book Ds: Sword World 2.0,2009,0.0100,0.0750,0.13,weak entry
Broccoli,Simulation,Shinseiki Evangelion Ayanami Ikusei Keikaku Ds With Asuka Hokan Keikaku,2008,0.0300,0.0800,0.38,weak entry
Broccoli,Strategy,Galaxy Angel Ii: Zettairyouiki No Tobira,2006,0.0300,0.0200,1.50,above median
Broccoli,Visual Novel,Uta No Prince-Sama: Debut,2012,0.0900,0.0250,3.60,strong breakout
Buena Vista,Misc,Disney'S Little Einsteins,2006,0.0100,0.0500,0.20,weak entry
Buena Vista,Puzzle,Lumines Ll,2006,0.3000,0.0500,6.00,strong breakout
Bushiroad,Adventure,Detective Opera: Milky Holmes 2,2012,0.0300,0.0400,0.75,below median
Capcom,Action-Adventure,Resident Evil 4,2009,0.0300,0.0150,2.00,strong breakout
Capcom Entertainment,Platform,Mega Man X Legacy Collection 1+2,2018,0.1800,0.0400,4.50,strong breakout
Carbine Studios,Mmo,Wildstar,2014,0.1600,0.4800,0.33,weak entry
Cave,Adventure,Instant Brain,2011,0.0100,0.0400,0.25,weak entry
Cave,Shooter,Mushihimesama Futari Ver 1.5,2009,0.0300,0.1300,0.23,weak entry
Cdv Software Entertainment,Puzzle,I Heart Geeks,2011,0.0300,0.0400,0.75,below median
Cdv Software Entertainment,Shooter,Tarr Chronicles,2007,0.0000,0.1250,0.00,weak entry
Cdv Software Entertainment,Simulation,Darkstar One,2006,0.0300,0.0400,0.75,below median
Chara-Ani,Shooter,Game Tengoku: Cruisinmix,2017,0.0000,0.1450,0.00,weak entry
Chunsoft,Action,Zombi Daisuki,2011,0.0400,0.1700,0.24,weak entry
Chunsoft,Visual Novel,Kyokugen Dasshutsu Adv: Zennin Shiboudesu,2012,0.0600,0.0250,2.40,strong breakout
City Interactive,Action,Sushi Academy,2009,0.0800,0.1700,0.47,weak entry
City Interactive,Adventure,Art Of Murder: Fbi Confidential,2008,0.0000,0.0400,0.00,weak entry
City Interactive,Misc,I Love Beauty: Hollywood Makeover,2009,0.0600,0.1100,0.55,below median
City Interactive,Puzzle,Art Of Murder: Hunt For The Puppeteer,2009,0.0000,0.0600,0.00,weak entry
City Interactive,Racing,Trackmania: Build To Race,2011,0.2300,0.1300,1.77,above median
City Interactive,Shooter,Sas: Secure Tomorrow,2008,0.0000,0.1800,0.00,weak entry
City Interactive,Simulation,Farm Frenzy: Animal Country,2010,0.1500,0.0700,2.14,strong breakout
Ck Games,Misc,Quiz Party,2012,0.0300,0.0200,1.50,above median
Codemasters,Platform,Rainbow Islands Revolution,2006,0.0200,0.1100,0.18,weak entry
Codemasters,Puzzle,Bliss Island,2006,0.0000,0.0500,0.00,weak entry
Codemasters,Simulation,Heatseeker,2007,0.1400,0.1050,1.33,above median
Cokem Interactive,Action,Dr. Seuss: How The Grinch Stole Christmas,2007,0.3100,0.2000,1.55,above median
Cokem Interactive,Misc,Loving Life With Hello Kitty & Friends,2011,0.2400,0.1200,2.00,strong breakout
Comfort,Adventure,Ef - A Fairy Tale Of The Two.,2010,0.0100,0.0300,0.33,weak entry
Comfort,Visual Novel,Arcana Famiglia: Vascello Phantasma No Majutsushi,2012,0.0200,0.0250,0.80,below median
Commseed,Misc,Juggler Ds,2008,0.0100,0.1200,0.08,weak entry
Compile,Adventure,Majin Tantei Nougami Neuro: Battle De Yo!,2008,0.0100,0.0400,0.25,weak entry
Compile Heart,Action,Date-A-Live Twin Edition: Rio Reincarnation,2015,0.0200,0.0600,0.33,weak entry
Compile Heart,Adventure,Sakai Burai Kaiji: Death Or Survival,2008,0.0000,0.0400,0.00,weak entry
Compile Heart,Role-Playing,Cross Edge Dash,2009,0.0100,0.0750,0.13,weak entry
Compile Heart,Visual Novel,Touch Shot! Love Application,2012,0.0300,0.0250,1.20,above median
Conspiracy Entertainment,Misc,Just Sing!,2010,0.1600,0.1100,1.45,above median
Conspiracy Entertainment,Simulation,America'S Next Top Model,2010,0.1000,0.0700,1.43,above median
Conspiracy Entertainment,Sports,Power Play Pool,2007,0.0400,0.1700,0.24,weak entry
Conspiracy Entertainment,Strategy,Panzer Tactics Ds,2007,0.0600,0.0400,1.50,above median
Crave Entertainment,Simulation,Baby Pals,2007,0.2800,0.1050,2.67,strong breakout
Creative Core,Adventure,Akogare Girls Collection: Suteki Ni Nurse Days,2009,0.0000,0.0300,0.00,weak entry
Creative Core,Misc,Nakayoshi All-Stars: Mezase Gakuen Idol,2008,0.0100,0.1200,0.08,weak entry
Creative Core,Role-Playing,Souhashiki Gadget Robo,2008,0.0000,0.0700,0.00,weak entry
Creative Core,Simulation,Mame Goma 2: Uchi No Ko Ga Ichiban!,2008,0.0600,0.0800,0.75,below median
Crimson Cow,Adventure,The Book Of Unwritten Tales: The Critter Chronicles,2011,0.0600,0.0400,1.50,above median
Culture Brain,Adventure,Ginga Tetsudou 999 Ds,2010,0.0200,0.0300,0.67,below median
Culture Brain,Misc,Uchi No 3 Shimai Ds,2008,0.0200,0.1200,0.17,weak entry
Cyberfront,Adventure,Memories Off #5: Encore,2007,0.0200,0.0400,0.50,below median
Cyberfront,Misc,Dj Max Technika Tune,2012,0.0100,0.0200,0.50,below median
Cyberfront,Role-Playing,Princess Maker 4 Special Edition,2008,0.0000,0.0700,0.00,weak entry
Cyberfront,Strategy,Akatsuki No Amaneka To Aoi Kyojin,2010,0.0200,0.0400,0.50,below median
Cygames,Platform,Wondership Q,2015,0.0400,0.0350,1.14,above median
D3 Publisher,Adventure,Last Escort,2006,0.0200,0.0400,0.50,below median
D3 Publisher,Board Game,Mahjong * Dream C Club,2012,0.0200,0.0200,1.00,above median
D3 Publisher,Fighting,Naruto: Clash Of Ninja,2006,0.6800,0.1500,4.53,strong breakout
D3 Publisher,Platform,Flushed Away,2006,0.2600,0.1100,2.36,strong breakout
D3 Publisher,Puzzle,Break 'Em All,2006,0.1200,0.0500,2.40,strong breakout
D3 Publisher,Racing,Ben 10 Galactic Racing,2011,0.5900,0.1300,4.54,strong breakout
D3 Publisher,Role-Playing,Fossil League: Dino Tournament Championship,2007,0.0000,0.0850,0.00,weak entry
D3 Publisher,Simulation,Horse Life,2007,0.1200,0.1050,1.14,above median
D3 Publisher,Sports,Family Party: 30 Great Games Winter Fun,2010,0.2300,0.1800,1.28,above median
D3 Publisher,Strategy,Simple 2000 Series Vol. 120: The Saigo No Nippon Tsuwamono,2007,0.0100,0.0400,0.25,weak entry
D3publisher,Action,Ben 10 Omniverse,2012,0.0000,0.1600,0.00,weak entry
D3publisher,Action-Adventure,Rise Of The Guardians: The Video Game,2012,0.0000,0.3300,0.00,weak entry
D3publisher,Adventure,Dreamworks Madagascar 3: The Video Game,2012,0.0000,0.0400,0.00,weak entry
D3publisher,Fighting,Naruto: Ninja Destiny,2008,0.1900,0.1000,1.90,above median
D3publisher,Misc,Ben 10 Galactic Racing,2012,0.0400,0.0200,2.00,strong breakout
D3publisher,Puzzle,The Mahjong,2018,0.0000,0.0700,0.00,weak entry
D3publisher,Racing,Turbo: Super Stunt Squad,2013,0.1400,0.0500,2.80,strong breakout
D3publisher,Role-Playing,Omega Labyrinth,2015,0.0600,0.0850,0.71,below median
D3publisher,Shooter,Earth Defense Force 2017 Portable,2013,0.0600,0.3950,0.15,weak entry
D3publisher,Simulation,Onna No Ko To Misshitsu Ni Itara **Shichau Kamoshirenai,2012,0.0300,0.0850,0.35,weak entry
D3publisher,Visual Novel,Custom Drive,2012,0.0200,0.0250,0.80,below median
Daedalic,Adventure,Tale Of A Hero,2010,0.0200,0.0300,0.67,below median
Daedalic Entertainment,Adventure,The Rabbit'S Apprentice,2013,0.0300,0.0400,0.75,below median
Daito,Misc,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,2006,0.1100,0.0500,2.20,strong breakout
Deep Silver,Action,The Magic Roundabout,2008,0.0000,0.1600,0.00,weak entry
Deep Silver,Adventure,Cursed Mountain,2009,0.2100,0.0300,7.00,strong breakout
Deep Silver,Misc,Astrology Ds,2009,0.0300,0.1100,0.27,weak entry
Deep Silver,Platform,Mighty No. 9,2016,0.1600,0.1200,1.33,above median
Deep Silver,Puzzle,Professor Heinz Wolff'S Gravity,2009,0.2200,0.0600,3.67,strong breakout
Deep Silver,Racing,Nail'D,2010,0.2300,0.1400,1.64,above median
Deep Silver,Role-Playing,Risen,2009,0.1400,0.0750,1.87,above median
Deep Silver,Shooter,Duke Nukem Trilogy: Critical Mass,2011,0.0400,0.3050,0.13,weak entry
Deep Silver,Sports,Wsc Real 09: World Snooker Championship,2009,0.0200,0.1650,0.12,weak entry
Deep Silver,Strategy,Elite Forces: Unit 77,2009,0.0600,0.0300,2.00,strong breakout
"Destination Software, Inc",Strategy,Wordmaster,2008,0.0900,0.0700,1.29,above median
Destineer,Action,Taito Legends Power Up,2007,0.0500,0.2000,0.25,weak entry
Destineer,Adventure,Cate West: The Vanishing Files,2008,0.1000,0.0400,2.50,strong breakout
Destineer,Fighting,Animal Boxing,2008,0.0300,0.1000,0.30,weak entry
Destineer,Misc,Fullmetal Alchemist: Trading Card Game,2007,0.0100,0.0900,0.11,weak entry
Destineer,Platform,Giana Sisters Ds,2011,0.0000,0.1100,0.00,weak entry
Destineer,Puzzle,Wordjong,2007,0.1500,0.0600,2.50,strong breakout
Destineer,Racing,Indianapolis 500 Legends,2007,0.2200,0.1500,1.47,above median
Destineer,Role-Playing,Fullmetal Alchemist: Dual Sympathy,2006,0.0900,0.0600,1.50,above median
Destineer,Shooter,Little Red Riding Hood'S Zombie Bbq,2008,0.0400,0.1800,0.22,weak entry
Destineer,Simulation,John Deere: Harvest In The Heartland,2007,0.2900,0.1050,2.76,strong breakout
Destineer,Sports,Fab 5 Soccer,2008,0.0100,0.1700,0.06,weak entry
Detn8 Games,Racing,Speed Zone,2009,0.0700,0.1100,0.64,below median
Detn8 Games,Sports,Ultimate Duck Hunting: Hunting & Retrieving Ducks,2007,0.2200,0.1700,1.29,above median
Devolver Digital,Shooter,Serious Sam Hd: Gold Edition,2010,0.0200,0.2100,0.10,weak entry
Digital Works Entertainment,Action,Claymore: Gingan No Majo,2009,0.0000,0.1700,0.00,weak entry
Digiturbo,Visual Novel,Phantom: Phantom Of Inferno,2012,0.0100,0.0250,0.40,weak entry
Dimple Entertainment,Adventure,Ayaka Shibito Portable,2009,0.0000,0.0300,0.00,weak entry
Dimple Entertainment,Role-Playing,Net Ghost Pipopa: Pipopa Ds @ Daibouken!!!,2009,0.0000,0.0750,0.00,weak entry
Dimple Entertainment,Simulation,Kumatanchi,2008,0.0000,0.0800,0.00,weak entry
Disney Interactive Studios,Action-Adventure,Brave: The Video Game,2012,0.0200,0.3300,0.06,weak entry
Disney Interactive Studios,Adventure,Disney Princess: Enchanted Journey,2007,1.5800,0.0400,39.50,strong breakout
Disney Interactive Studios,Misc,High School Musical: Sing It!,2007,3.6300,0.0900,40.33,strong breakout
Disney Interactive Studios,Music,Disney Violetta: Rhythm & Music,2014,0.0000,0.1550,0.00,weak entry
Disney Interactive Studios,Puzzle,High School Musical: Makin' The Cut!,2007,2.2000,0.0600,36.67,strong breakout
Disney Interactive Studios,Racing,Pure,2008,3.3600,0.1350,24.89,strong breakout
Disney Interactive Studios,Role-Playing,Spectrobes,2007,0.7500,0.0850,8.82,strong breakout
Disney Interactive Studios,Simulation,Disney Friends,2008,0.1700,0.0800,2.13,strong breakout
Dispatch Games,Puzzle,"Soldam: Drop, Connect, Erase",2017,0.0200,0.0200,1.00,above median
Dmm Games,Action,War Thunder,2017,0.0000,0.0700,0.00,weak entry
Dorart,Misc,Minna De Dokusho: Keatai Shousetsu Desu,2008,0.0200,0.1200,0.17,weak entry
Dotemu,Platform,Wonder Boy: The Dragon'S Trap (Remake),2017,0.0900,0.2250,0.40,weak entry
Dovetail Games,Action,Train Simulator 2015,2014,0.0000,0.1450,0.00,weak entry
Dovetail Games,Simulation,Train Simulator 2016,2015,0.0400,0.0200,2.00,strong breakout
Dramatic Create,Action,Tokyo Onmyouji: Tengen Jibashi - Rei No Baai - V Edition,2015,0.0100,0.0600,0.17,weak entry
Dramatic Create,Adventure,Alia'S Carnival! Sacrament,2015,0.0400,0.0400,1.00,above median
Dramatic Create,Misc,Aiyoku No Eustia,2014,0.0100,0.0550,0.18,weak entry
Dramatic Create,Visual Novel,Koezaru Wa Akai Hana: Taiga Wa Mirai O Tsugumu,2014,0.0100,0.0300,0.33,weak entry
Dreamcatcher Interactive,Misc,Drivers Ed Portable,2008,0.0500,0.1200,0.42,weak entry
Dreamcatcher Interactive,Puzzle,Matchstick,2008,0.0100,0.0600,0.17,weak entry
Dreamcatcher Interactive,Racing,Trackmania Turbo: Build To Race,2011,0.0500,0.1300,0.38,weak entry
Dreamcatcher Interactive,Simulation,Ship Simulator 2006,2006,0.0000,0.0400,0.00,weak entry
Dsi Games,Action,Lionel Trains: On Track,2006,0.0400,0.0800,0.50,below median
Dsi Games,Adventure,March Of The Penguins,2006,0.0500,0.0400,1.25,above median
Dsi Games,Fighting,Showtime Championship Boxing,2007,0.1200,0.0800,1.50,above median
Dsi Games,Platform,Barnyard Blast: Swine Of The Night,2008,0.0200,0.4000,0.05,weak entry
Dsi Games,Simulation,B-17: Fortress In The Sky,2007,0.0200,0.1050,0.19,weak entry
Dtmc,Strategy,Championship Manager 2006,2006,0.0000,0.0200,0.00,weak entry
Dtp Entertainment,Adventure,"Element Girl: Love, Fashion And Friends",2008,0.0100,0.0400,0.25,weak entry
Dtp Entertainment,Misc,Dance! It'S Your Stage,2011,0.0200,0.1200,0.17,weak entry
Dtp Entertainment,Puzzle,Crazy Machines,2008,0.0300,0.0600,0.50,below median
Dtp Entertainment,Racing,Crash Time 4: The Syndicate,2010,0.0000,0.1400,0.00,weak entry
Dtp Entertainment,Role-Playing,Divinity Ii: Flames Of Vengeance,2010,0.0300,0.1350,0.22,weak entry
Dtp Entertainment,Simulation,Wedding Planner: Dream Weddings Guaranteed,2010,0.0100,0.0700,0.14,weak entry
Dtp Entertainment,Sports,Summer Athletics,2008,0.0100,0.1700,0.06,weak entry
Dtp Entertainment,Strategy,Stronghold Kingdoms,2011,0.1000,0.0750,1.33,above median
Dusenberry Martin Racing,Racing,Nascar Heat Evolution,2016,0.2500,0.0800,3.13,strong breakout
E-Frontier,Simulation,Machi No Pet-Ya-San Ds 2: Wannyan 333-Hiki Daishuugou!,2009,0.0000,0.1000,0.00,weak entry
Ea Sports,Misc,Fifa Soccer,2012,0.6300,0.0200,31.50,strong breakout
Easy Interactive,Adventure,Curse Of The Amsterdam Diamond,2012,0.0100,0.0400,0.25,weak entry
Ecole,Fighting,Melty Blood: Actress Again,2009,0.0600,0.1400,0.43,weak entry
Edia,Misc,Maplus: Portable Navi,2006,0.0700,0.0500,1.40,above median
Egames,Puzzle,4 Elements,2009,0.0500,0.0600,0.83,below median
